,Date,Tweet
30,2020-01-01 07:01:00,RT @Damnbryant: HAPPY NEW YEARS EVE! \ud83c\udf89\ud83e\udd42 https:\/\/t.co\/ulwxhlw5yk
31,2020-01-01 07:01:00,@supermoongirl9 me too! knew i loved her and her virgo moon
32,2020-01-01 07:01:00,@Jufromdowntown photo bi meune na me reyy
33,2020-01-01 07:01:00,"@SolomonYue Thank you NCM Yue for all your supports to Hong Kong in 2019! And yes, let\u2019s work together for a bette\u2026 https:\/\/t.co\/IlCUvP0H8M"
34,2020-01-01 07:01:00,@CarolinaStanna Feliz ano novo lindaa
35,2020-01-01 07:01:00,"RT @gaynthey: okay listen up, are you a t-shirt-tucked-into-pants gay or an oversized-t-shirt gay?"
36,2020-01-01 07:01:00,"RT @gaynthey: okay listen up, are you a t-shirt-tucked-into-pants gay or an oversized-t-shirt gay?"
37,2020-01-01 07:01:00,\u0e1e\u0e35\u0e48\u0e40\u0e2b\u0e19\u0e37\u0e48\u0e2d\u0e22\u0e15\u0e31\u0e49\u0e07\u0e41\u0e15\u0e48\u0e15\u0e49\u0e19\u0e1b\u0e35\u0e40\u0e25\u0e22 \u0e40\u0e1b\u0e47\u0e19\u0e2b\u0e48\u0e27\u0e07\u0e19\u0e30\u0e04\u0e30 #JIMIN https:\/\/t.co\/qmLCGTT9ho
38,2020-01-01 07:01:00,\u0e1e\u0e35\u0e48\u0e40\u0e2b\u0e19\u0e37\u0e48\u0e2d\u0e22\u0e15\u0e31\u0e49\u0e07\u0e41\u0e15\u0e48\u0e15\u0e49\u0e19\u0e1b\u0e35\u0e40\u0e25\u0e22 \u0e40\u0e1b\u0e47\u0e19\u0e2b\u0e48\u0e27\u0e07\u0e19\u0e30\u0e04\u0e30 #JIMIN https:\/\/t.co\/qmLCGTT9ho
39,2020-01-01 07:01:00,Vish pode cr\u00ea 2020 come\u00e7ou com um dale q eu esperei muito tempo
40,2020-01-01 07:01:00,Vish pode cr\u00ea 2020 come\u00e7ou com um dale q eu esperei muito tempo
41,2020-01-01 07:01:00,Vish pode cr\u00ea 2020 come\u00e7ou com um dale q eu esperei muito tempo
42,2020-01-01 07:01:00,Vish pode cr\u00ea 2020 come\u00e7ou com um dale q eu esperei muito tempo
43,2020-01-01 07:01:00,Vish pode cr\u00ea 2020 come\u00e7ou com um dale q eu esperei muito tempo
44,2020-01-01 07:01:01,\u300c\u30d7\u30ed\u30ec\u30b9\u6280\u3067\u52dd\u305f\u306d\u3070\u610f\u5473\u304c\u306a\u3044\u3002\u30b0\u30ec\u30a4\u30b7\u30fc\u67d4\u8853\u306e\u6280\u3067\u30b0\u30ec\u30a4\u30b7\u30fc\u306b\u52dd\u3063\u3066\u3082\u52dd\u3061\u3067\u306f\u306a\u3044\u3002\u5c11\u306a\u304f\u3068\u3082\u30aa\u30ec\u306b\u3068\u3063\u3066\u306f\u300d
45,2020-01-01 07:01:01,\uc6c5\uc575
46,2020-01-01 07:01:01,"RT @QUOcardPay: \uff3c#\u30e2\u30fc\u30ea\u30fcSP3Q  #5\u30a2\u30ab\u30a6\u30f3\u30c8\u5468\u56de\ud83d\udd04\u30ad\u30e3\u30f3\u30da\u30fc\u30f3\uff0f\n\n\u7dcf\u52e2500\u540d\u69d8\u306b\u5404\u793e\u30ae\u30d5\u30c8\u30ab\u30fc\u30c9\u304c\u6bce\u65e5\u5f53\u305f\u308b\uff01\nQUO\u30ab\u30fc\u30c9Pay\uff08\u30af\u30aa\u3068\u30da\u30a4\uff09\u306f #QUO\u30ab\u30fc\u30c9Pay 1,000\u5186\u5206\u3092\ud83d\udce6\n1\u65e55\u56de\u30c1\u30e3\u30f3\u30b9\ud83d\udce2\u3000\u7de0\u5207\u306f1\/2 9:59\u307e\u3067\n\n\u25a0\u5fdc\u52df\u65b9\u2026"
47,2020-01-01 07:01:01,1\u30012\u3001\u30b5\u30f3\u30c8\u30b9\u3001\u30e8\u30f3\u30c8\u30b9
